Name,Id_Atlas,Stage0,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,Stage10,Stage11,Stage12,Stage13,Stage14,Stage15,Stage16
rINS,34,-0.469 ,0.231 ,0.116 ,0.468 ,0.550 ,0.582 ,1.170 ,1.123 ,1.194 ,1.400 ,1.105 ,1.134 ,1.258 ,1.606 ,1.915 ,2.107 ,2.272 
lMCC,37,-0.632 ,0.044 ,0.108 ,0.347 ,0.328 ,0.687 ,0.490 ,0.621 ,0.960 ,0.083 ,0.956 ,0.754 ,0.979 ,1.095 ,0.966 ,0.998 ,1.636 
rMCC,38,-0.604 ,-0.067 ,0.034 ,0.435 ,0.219 ,0.467 ,0.342 ,0.605 ,0.648 ,0.060 ,0.826 ,0.613 ,1.050 ,1.165 ,1.366 ,0.849 ,1.593 
lPCC,39,-0.315 ,-0.115 ,0.144 ,0.090 ,0.054 ,0.454 ,0.244 ,0.238 ,0.295 ,0.105 ,0.313 ,0.512 ,0.326 ,0.818 ,0.675 ,0.951 ,1.260 
rPCC,40,-0.241 ,-0.087 ,0.127 ,-0.048 ,0.008 ,0.242 ,-0.010 ,0.309 ,0.364 ,0.613 ,0.532 ,0.291 ,0.700 ,0.939 ,0.522 ,0.733 ,1.162 
lHIP,41,0.249 ,1.148 ,1.019 ,1.125 ,1.030 ,1.229 ,1.309 ,1.304 ,1.324 ,1.562 ,1.896 ,1.632 ,1.458 ,1.439 ,1.976 ,1.850 ,2.072 
rHIP,42,0.272 ,1.231 ,0.868 ,1.020 ,1.114 ,0.987 ,1.207 ,1.208 ,1.368 ,1.214 ,1.508 ,1.629 ,1.523 ,1.643 ,1.554 ,1.751 ,2.032 
lPHG,43,-0.077 ,0.574 ,0.952 ,1.187 ,0.833 ,0.944 ,1.018 ,1.169 ,1.007 ,1.206 ,1.058 ,1.267 ,0.974 ,1.129 ,1.291 ,1.416 ,1.120 
rPHG,44,-0.054 ,0.473 ,1.000 ,0.955 ,0.906 ,0.931 ,0.899 ,0.964 ,1.077 ,1.020 ,0.848 ,1.139 ,1.231 ,1.196 ,1.394 ,1.011 ,1.242 
lAMYG,45,0.094 ,0.957 ,1.282 ,1.103 ,1.052 ,1.556 ,1.111 ,1.119 ,1.202 ,1.634 ,1.859 ,1.663 ,1.202 ,1.184 ,1.666 ,1.414 ,1.690 
rAMYG,46,0.066 ,0.923 ,1.253 ,1.179 ,1.075 ,1.327 ,1.000 ,1.226 ,1.337 ,1.478 ,1.515 ,1.425 ,1.326 ,1.209 ,1.773 ,1.403 ,1.820 
lCAL,47,-0.234 ,0.064 ,0.169 ,0.111 ,0.294 ,0.306 ,0.200 ,0.213 ,0.439 ,0.143 ,0.663 ,0.647 ,0.224 ,0.447 ,0.263 ,0.707 ,0.898 
rCAL,48,-0.250 ,0.096 ,0.115 ,0.155 ,0.232 ,0.450 ,0.173 ,0.251 ,0.381 ,0.312 ,0.559 ,0.330 ,0.305 ,0.527 ,0.125 ,0.522 ,0.846 
lCUN,49,-0.373 ,0.026 ,0.233 ,0.034 ,0.345 ,-0.064 ,0.332 ,0.646 ,0.391 ,0.373 ,0.603 ,0.762 ,0.526 ,0.508 ,0.630 ,0.351 ,1.034 
rCUN,50,-0.484 ,-0.087 ,0.183 ,-0.108 ,0.193 ,0.052 ,0.146 ,0.337 ,0.289 ,0.206 ,0.637 ,0.449 ,0.316 ,0.573 ,0.241 ,-0.012 ,1.087 
lLING,51,-0.289 ,0.105 ,0.384 ,0.686 ,0.840 ,0.274 ,0.520 ,0.661 ,0.504 ,0.483 ,0.749 ,0.899 ,0.776 ,0.924 ,0.732 ,0.537 ,1.215 
rLING,52,-0.230 ,0.131 ,0.325 ,0.454 ,0.837 ,0.253 ,0.355 ,0.681 ,0.636 ,0.632 ,0.866 ,1.143 ,0.840 ,1.115 ,1.000 ,0.655 ,1.271 
lSOG,53,-0.320 ,-0.111 ,0.131 ,0.080 ,0.058 ,-0.227 ,0.039 ,0.255 ,0.343 ,0.470 ,0.708 ,0.624 ,0.537 ,0.362 ,0.010 ,-0.043 ,0.740 
rSOG,54,-0.244 ,-0.001 ,0.036 ,-0.173 ,0.076 ,0.411 ,0.493 ,0.385 ,0.287 ,-0.130 ,0.599 ,0.853 ,-0.005 ,0.418 ,0.685 ,0.057 ,0.777 
