Name,Id_Atlas,Stage0,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,Stage10,Stage11,Stage12,Stage13,Stage14,Stage15,Stage16
rtVL,128,0.048 ,0.486 ,0.572 ,0.583 ,0.360 ,0.502 ,0.575 ,0.783 ,1.122 ,0.558 ,0.667 ,0.238 ,0.407 ,0.776 ,1.087 ,0.852 ,1.003 
ltVPL,129,0.058 ,0.469 ,0.439 ,0.824 ,0.444 ,0.282 ,0.528 ,0.400 ,0.651 ,0.450 ,0.774 ,0.171 ,0.616 ,0.454 ,0.836 ,0.235 ,0.417 
rtVPL,130,0.073 ,0.417 ,0.350 ,0.431 ,0.367 ,0.191 ,0.393 ,0.245 ,0.576 ,0.470 ,0.561 ,0.322 ,0.245 ,0.518 ,0.745 ,0.331 ,0.289 
ltIL,131,0.089 ,0.407 ,0.432 ,0.465 ,0.578 ,0.299 ,0.713 ,0.678 ,0.902 ,0.623 ,0.731 ,0.447 ,0.659 ,0.412 ,0.982 ,0.671 ,0.756 
rtIL,132,0.107 ,0.469 ,0.439 ,0.342 ,0.390 ,0.246 ,0.626 ,0.524 ,0.813 ,0.531 ,0.421 ,0.439 ,0.166 ,0.605 ,0.981 ,0.868 ,0.693 
ltMDm,135,0.088 ,0.780 ,0.820 ,1.011 ,0.839 ,0.824 ,1.144 ,1.152 ,1.402 ,1.178 ,1.430 ,0.918 ,1.254 ,1.091 ,1.512 ,1.329 ,1.576 
rtMDm,136,0.117 ,0.717 ,0.849 ,0.986 ,0.709 ,0.948 ,1.025 ,1.222 ,1.477 ,1.290 ,1.297 ,0.853 ,1.084 ,1.293 ,1.584 ,1.073 ,1.537 
ltMDl,137,0.044 ,0.579 ,0.580 ,0.707 ,0.666 ,0.634 ,0.771 ,0.800 ,1.278 ,0.647 ,1.165 ,0.787 ,0.879 ,0.814 ,1.259 ,0.945 ,1.161 
rtMDl,138,0.120 ,0.515 ,0.603 ,0.622 ,0.479 ,0.535 ,0.701 ,0.706 ,1.386 ,0.783 ,0.800 ,0.534 ,0.742 ,0.754 ,1.202 ,0.689 ,0.927 
ltLGN,139,0.013 ,0.122 ,0.034 ,0.357 ,-0.056 ,0.053 ,0.109 ,0.171 ,0.457 ,0.635 ,-0.023 ,0.426 ,0.321 ,0.202 ,0.422 ,0.114 ,0.084 
rtLGN,140,0.059 ,0.196 ,0.063 ,0.318 ,0.131 ,0.102 ,0.380 ,0.356 ,0.914 ,0.538 ,0.155 ,0.817 ,0.214 ,0.570 ,0.585 ,0.362 ,0.189 
ltMGN,141,-0.109 ,0.172 ,0.028 ,0.069 ,0.077 ,-0.013 ,0.202 ,0.259 ,0.471 ,-0.008 ,0.061 ,0.193 ,-0.065 ,0.264 ,0.540 ,0.104 ,0.098 
rtMGN,142,-0.047 ,0.162 ,0.038 ,0.119 ,0.374 ,0.151 ,0.166 ,0.219 ,0.149 ,0.049 ,-0.280 ,0.027 ,-0.362 ,-0.033 ,0.493 ,0.208 ,0.285 
ltPuA,143,0.052 ,0.422 ,0.417 ,0.656 ,0.535 ,0.191 ,0.423 ,0.630 ,1.104 ,0.773 ,0.514 ,0.634 ,0.573 ,0.930 ,0.775 ,0.746 ,0.810 
rtPuA,144,0.043 ,0.416 ,0.332 ,0.598 ,0.529 ,0.052 ,0.434 ,0.584 ,0.883 ,0.699 ,0.564 ,0.692 ,0.694 ,0.640 ,0.739 ,0.843 ,0.686 
ltPuM,145,0.080 ,0.627 ,0.697 ,0.954 ,0.766 ,0.451 ,0.798 ,0.769 ,1.307 ,0.958 ,1.043 ,0.767 ,0.951 ,0.892 ,1.478 ,1.063 ,1.109 
rtPuM,146,0.101 ,0.600 ,0.652 ,0.861 ,0.643 ,0.504 ,0.767 ,0.707 ,1.285 ,1.115 ,0.860 ,0.794 ,0.875 ,1.149 ,1.522 ,1.090 ,1.010 
ltPuL,147,0.103 ,0.598 ,0.605 ,0.881 ,0.675 ,0.456 ,0.672 ,0.689 ,1.109 ,0.796 ,0.882 ,0.925 ,0.984 ,0.709 ,1.219 ,1.130 ,1.010 
rtPuL,148,0.117 ,0.471 ,0.578 ,0.806 ,0.498 ,0.433 ,0.775 ,0.589 ,1.222 ,0.504 ,0.864 ,0.707 ,0.846 ,1.133 ,1.205 ,1.053 ,0.819 
ltPuI,149,0.089 ,0.194 ,0.432 ,0.452 ,0.369 ,0.179 ,0.558 ,0.220 ,0.828 ,0.498 ,0.680 ,0.204 ,0.442 ,0.061 ,0.624 ,0.566 ,0.437 
rtPuI,150,-0.007 ,0.064 ,0.048 ,0.249 ,0.215 ,0.297 ,0.307 ,-0.223 ,0.558 ,0.273 ,0.250 ,0.101 ,0.153 ,0.028 ,0.121 ,0.094 ,0.237 
lACCsub,151,-0.377 ,0.038 ,0.210 ,0.144 ,0.043 ,0.243 ,0.574 ,0.488 ,0.364 ,0.275 ,0.502 ,0.398 ,0.540 ,0.748 ,0.641 ,0.779 ,1.497 
rACCsub,152,-0.274 ,-0.041 ,0.040 ,-0.011 ,-0.088 ,0.204 ,0.207 ,0.345 ,0.055 ,0.329 ,0.249 ,0.329 ,0.016 ,0.403 ,0.381 ,0.505 ,1.243 
lACCpre,153,-0.466 ,0.090 ,0.193 ,0.292 ,0.262 ,0.350 ,0.643 ,0.676 ,0.300 ,0.376 ,0.642 ,0.594 ,1.150 ,0.709 ,1.071 ,1.193 ,1.952 
rACCpre,154,-0.495 ,0.024 ,0.146 ,0.305 ,0.267 ,0.467 ,0.437 ,0.721 ,0.139 ,0.467 ,0.486 ,0.779 ,0.902 ,0.816 ,0.957 ,1.096 ,1.873 
lACCsup,155,-0.414 ,0.098 ,0.188 ,0.327 ,0.219 ,0.258 ,0.605 ,0.752 ,0.160 ,0.346 ,0.584 ,1.022 ,1.384 ,0.717 ,0.860 ,1.060 ,1.594 
rACCsup,156,-0.376 ,0.034 ,0.214 ,0.130 ,0.083 ,0.199 ,0.364 ,0.229 ,-0.019 ,0.141 ,0.341 ,0.520 ,0.566 ,0.468 ,0.713 ,0.545 ,1.283 
lNacc,157,-0.285 ,0.308 ,0.459 ,0.636 ,1.025 ,1.274 ,0.801 ,1.134 ,1.149 ,1.171 ,1.143 ,1.233 ,1.382 ,1.784 ,1.705 ,1.320 ,1.886 
rNacc,158,-0.266 ,0.271 ,0.452 ,0.521 ,1.083 ,1.215 ,0.824 ,1.299 ,0.995 ,1.287 ,1.303 ,1.245 ,1.309 ,1.672 ,1.680 ,1.183 ,1.801 
